Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
CamB,12.180876538127409,15.726612450076681,4999.0072198448415,1.3599517206611173e-38,9.029201397506077e-43,0.0024134565148758564,-99.99999999999999,5e-26,112394957.8112539
D512-2,0.19596596517026738,inf,374.66174385491655,0.17754929303278305,3.4534444876609716e-08,0.2893321360061532,-99.9999810227317,5e-26,417341152.2212741
D564-8,1.5044362915128424,inf,277.0631610821591,8.025514505508105e-13,1.134917359233583e-05,0.21409056344635533,-74.17305193161098,5e-26,77150692.99287826
D631-7,10.150108422327895,1.9069234474520573,2167.641176620718,8.984774138137405e-15,1.0118031900023818e-15,0.01882999408891345,-99.97565457158788,5e-26,658710897.693744
DDO064,0.6073346012846513,0.39783607235880714,814.0514953711355,0.055148968482641905,5.914256678067473e-09,0.20584010465666228,-99.99750173086268,5e-26,545774066.4185022
DDO154,16.668745512373654,1.8281423516853499,815.3368355559982,7.00007329483055e-09,1.744528601346815e-08,0.12478167749589707,-99.99999667784087,5e-26,390633476.171322
DDO161,2.75895980140819,0.3140634073662062,1684.3272063894733,0.008456094912490716,5.869081497238607e-10,0.013933949162021113,-99.99011508552493,5e-26,2978343130.639795
DDO168,12.812541442632071,8.051547874662676,1387.8303474964955,5.442444239901675e-10,9.154164811870084e-13,0.07450229665220313,-99.99928387756874,5e-26,752061340.507009
DDO170,2.2759619557666166,3.8285405402144894,607.0570964298404,2.1559753295907627e-06,2.182699377099417e-11,0.07015543262349308,53.933615950809966,5e-26,2423364714.2116437
ESO079-G014,4.679920535805868,3.142095642497064,4999.99177446739,5.990442811619753e-14,3.0238665345258334e-09,0.010088466905430126,-47.81606759637311,5e-26,66171839240.99786
ESO116-G012,3.9500460454519555,1.2924054012069517,3352.250461336518,0.013455107660043205,2.5700078102515954e-07,0.033678332842692255,-99.9998469696633,5e-26,7532783144.032311
ESO444-G084,0.7624622050729937,0.38154129665859016,1573.3088884056294,0.0010878756811422202,0.26975574339202646,0.16628344230843212,-99.99989338039411,5e-26,290669066.778891
ESO563-G021,21.59522199400425,,,,,,,,382575157918.20795
F561-1,0.9319545912621179,inf,317.87074968835907,3.462806171797299e-11,0.5220621973418808,2.8273853259113012e-39,-99.99999982786193,5e-26,7412955674.961811
F563-1,1.0680174280285295,0.7017970020504808,3051.7384148380306,6.553853439863512e-40,1.584942445151317e-54,0.061619162033453516,-81.48191076035849,5e-26,8113076081.573438
F563-V1,0.21767997941495015,inf,666.9649177884887,2.86139489436628e-17,0.11512701406620637,2.0029747550387487e-07,-99.99999764829681,5e-26,1740398447.3053377
F563-V2,1.0458826483789148,0.2513243172558202,3373.6935134912537,1.9207348448967855e-19,8.470523147362094e-13,0.13445909026586436,-99.99995892154591,5e-26,7286340856.004893
F565-V2,0.47311489610273705,0.19939175961272623,2241.4914943976623,8.200367094575763e-07,7.406905459252736e-06,0.035875307522023725,-99.98177125905315,5e-26,2217733363.404489
F567-2,0.40889232529686476,inf,598.4151692894546,3.0385857660134044e-08,1.6205480408421684e-15,0.07200505317072155,-99.99999752925655,5e-26,3743569507.6158304
F568-1,0.8423914467606288,0.1592435824292326,4279.333312508549,2.4194949004520957e-35,1.5380791633806172e-41,0.06364185036965693,-99.99999563417103,5e-26,14592093145.636621
F568-3,3.7556649664511683,1.2284436734769224,3113.705852787137,4.785521491684247e-08,4.519407376405535e-09,0.01943727325469209,-99.98748770430937,5e-26,16383675776.056698
F568-V1,0.19487095361981055,0.08056707764841768,3250.20125612338,1.2004602162256443e-05,4.968652304793834e-06,0.11512038193078586,-99.9996558602551,5e-26,9817813006.782286
F571-8,63.04926370505871,77.40056210485048,4999.999998793177,1.4661999530965056e-35,1.7874009694067125e-39,0.01219776994016158,15.072751061555193,5e-26,11568644150.889
F571-V1,0.32684941068903045,0.10432609515142569,2093.527496809067,6.473490274461515e-07,1.729131932575571e-08,0.02507177554432207,-99.99997900878982,5e-26,4853246330.660256
